CV_Score,learning_rate,max_depth,n_estimators,objective,Test_Acc_Score
0.9381360145760537,0.1,6,60,multi:softprob,0.8317535545023697
0.9381360145760537,0.1,6,60,multi:softmax,0.8317535545023697
0.9425485388631873,0.1,6,80,multi:softprob,0.8270142180094787
0.9425485388631873,0.1,6,80,multi:softmax,0.8270142180094787
0.9266695697547552,0.1,8,20,multi:softprob,0.8009478672985783
0.9266695697547552,0.1,8,20,multi:softmax,0.8009478672985783
0.9423259577893932,0.1,8,40,multi:softprob,0.8175355450236966
0.9423259577893932,0.1,8,40,multi:softmax,0.8175355450236966
0.9469298199774331,0.1,8,60,multi:softprob,0.8412322274881516
0.9469298199774331,0.1,8,60,multi:softmax,0.8412322274881516
0.9505201370136172,0.1,8,80,multi:softprob,0.8364928909952607
0.9505201370136172,0.1,8,80,multi:softmax,0.8364928909952607
